SportCode,SportCategoryCode,SportTournamentCode,BetLimitFactor
31,259,42786,5
31,259,42787,5
31,259,42788,5
31,259,42790,5
31,259,42791,5
31,259,42792,5
31,259,42793,5
31,259,42990,5
31,259,42991,5
31,259,42992,5
31,259,42993,5
31,259,42994,5
31,259,42995,5
31,259,42996,5
31,259,42997,5
31,259,42998,5
31,259,42999,5
31,259,43010,5
31,259,43011,5
31,259,43012,5
31,259,43013,5
31,259,43014,5
31,259,43017,5
31,259,43018,5
31,259,43019,5
31,259,43020,5
31,259,43021,5
31,259,43022,5
31,259,43023,5
31,259,43024,5
31,259,43025,5
31,259,43026,5
31,259,43379,5
31,259,43380,5
31,259,43381,5
31,259,43382,5
31,259,43383,5
31,259,43405,5
31,259,43406,5
31,259,43407,5
31,259,43408,5
31,259,43409,5
31,259,43411,5
31,259,43412,5
31,259,43413,5
31,259,43414,5
31,259,43415,5
31,259,43538,5
31,259,43539,5
31,259,43542,5
31,259,43543,5
31,259,43544,5
31,259,43635,5
31,259,43636,5
31,259,43637,5
31,259,43638,5
31,259,43639,5
31,259,43640,5
31,259,43641,5
31,259,43642,5
31,259,43664,5
31,259,43670,5
31,259,43674,5
31,259,43675,5
31,259,43706,5
31,259,43935,5
31,259,43937,5
31,259,43938,5
31,259,43939,5
31,259,43940,5
31,259,44400,5
31,259,44401,5
31,259,44402,5
31,259,44403,5
31,259,44404,5
31,259,44417,5
31,259,44418,5
31,259,44419,5
31,259,44420,5
31,259,44421,5
31,259,44422,5
31,259,44423,5
31,259,44424,5
31,259,44425,5
31,259,44426,5
31,259,44804,5
31,259,44805,5
31,259,44806,5
31,259,44807,5
31,259,44808,5
31,259,44809,5
31,259,44810,5
31,259,44811,5
31,259,44812,5
31,259,44813,5
31,259,44842,5
31,259,44843,5
31,259,44844,5
31,259,44847,5
31,259,44886,5
31,259,44887,5
31,259,44888,5
31,259,44889,5
31,259,44890,5
31,259,44893,5
31,259,44948,5
31,259,44949,5
31,259,44950,5
31,259,44951,5
31,259,44952,5
31,259,45026,5
31,259,45027,5
31,259,45028,5
31,259,45029,5
31,259,45030,5
31,259,45031,5
31,259,45032,5
31,259,45033,5
31,259,45034,5
31,259,45117,5
31,259,45118,5
31,259,45119,5
31,259,45140,5
31,259,45141,5
31,259,45495,5
31,259,45496,5
31,259,45497,5
31,259,45498,5
31,259,45499,5
31,259,45630,5
31,259,45631,5
31,259,45633,5
31,259,45634,5
31,259,45637,5
31,259,45638,5
31,259,45639,5
31,259,45640,5
31,259,45641,5
31,259,45643,5
31,259,46115,5
31,259,46116,5
31,259,46117,5
31,259,46118,5
31,259,46119,5
31,259,46242,5
31,259,46243,5
31,259,46244,5
31,259,46245,5
31,259,46246,5
31,259,46447,5
31,259,46467,5
31,259,46468,5
31,259,46469,5
31,259,46470,5
31,259,46477,5
31,259,46478,5
31,259,46479,5
31,259,46480,5
31,259,46481,5
31,259,46482,5
31,259,46483,5
31,259,46484,5
31,259,46485,5
31,259,46523,5
31,259,46524,5
31,259,46525,5
31,259,46526,5
31,259,46527,5
31,259,46528,5
31,259,46541,5
31,259,46542,5
31,259,46543,5
31,259,46544,5
31,259,46604,5
31,259,46605,5
31,259,46606,5
31,259,46607,5
31,259,46608,5
31,259,46609,5
31,259,46610,5
31,259,46611,5
31,259,46612,5
31,259,46613,5
31,259,46614,5
31,259,46615,5
31,259,46616,5
31,259,46617,5
31,259,46618,5
31,259,46872,5
31,259,46873,5
31,259,46874,5
31,259,46875,5
31,259,46876,5
31,259,46877,5
31,259,46879,5
31,259,46881,5
31,259,46882,5
31,259,46883,5
31,259,46884,5
31,259,46885,5
31,259,46886,5
31,259,47136,5
31,259,47137,5
31,259,47138,5
31,259,47139,5
31,259,47140,5
31,259,47141,5
31,259,47142,5
31,259,47143,5
31,259,47144,5
31,259,47145,5
31,259,47280,5
31,259,47281,5
31,259,47282,5
31,259,47283,5
31,259,47284,5
31,259,47305,5
31,259,47306,5
31,259,47307,5
31,259,47308,5
31,259,47309,5
31,259,47310,5
31,259,47311,5
31,259,47312,5
31,259,47313,5
31,259,47379,5
31,259,47380,5
31,259,47381,5
31,259,47382,5
31,259,47383,5
31,259,47384,5
31,259,47385,5
31,259,47386,5
31,259,47387,5
31,259,47388,5
31,259,47414,5
31,259,47415,5
31,259,47416,5
